Laterna teutonica;Description unavailable;https://www.imdb.com/title/tt0401955/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Kya Hadsaa Kya Haqeeqat;Kya Hadsaa Kya Haqeeqat is a TV series starring Kali Prasad Mukherjee, Chetan Hansraj, and Sumeet Sachdev. Kya Hadsaa Kya Haqeeqat is an Indian thriller anthology television show that was first broadcast on Sony TV in 2002. The...;https://www.imdb.com/title/tt0401954/;Thriller;6.3;33;2002-01-01;
Kkusum;Kkusum is a TV series starring Tasneem Sheikh, Rupa Divetia, and Raymon Singh. Kkusum is the story of a woman whose upbringing has instilled strong middle class values in her and has taught her to be strong willed, self respecting...;https://www.imdb.com/title/tt0401953/;['Drama', 'Family'];4.4;68;2001-05-14;
Kkoi Dil Mein Hai;Kkoi Dil Mein Hai is a TV series starring Poorva Gokhale, Eijaz Khan, and Karishma Tanna. The story of love and friendship that binds two girls Kajal and Krittika through all their joys and fears.;https://www.imdb.com/title/tt0401952/;['Drama', 'Romance'];5.9;16;2003-12-21;
Kitchen Accomplished;Description unavailable;https://www.imdb.com/title/tt0401951/;Genre Unknown;7.2;5;Unknown;
Eye for an Eye;Eye for an Eye is a TV series starring Akim Anastopoulo, John McCalmont, and Ray Phillips. Weekly pseudo-court program in which Judge "Extreme Akim" Anastopoulo awards different forms of revenge to the guilty litigant.;https://www.imdb.com/title/tt0401930/;['Comedy', 'Drama'];4.2;118;Unknown;
Eva del Edén;Description unavailable;https://www.imdb.com/title/tt0401929/;Romance;6.8;12;2004-09-13;
Estrambótica Anastasia;Estrambótica Anastasia is a TV series starring Mayra Alejandra, Carlos Felipe Alvarez, and Norkys Batista. Anastasia is a beautiful woman, who came from humble beginnings and whose dreams become reality when, thanks to her...;https://www.imdb.com/title/tt0401928/;['Crime', 'Drama', 'Horror', 'Mystery', 'Romance'];7.6;145;2004-04-15;
Los episodios;Description unavailable;https://www.imdb.com/title/tt0401927/;Genre Unknown;No Rating;Total Rating Count N/A;1979-02-14;
Dream Job;Dream Job is a TV series starring Michael Magid, Chet Anekwe, and LaVar Arrington. 12 finalists compete for the ultimate sports job... a sportscaster for ESPN's Sportscenter.;https://www.imdb.com/title/tt0401926/;['Game-Show', 'Reality-TV', 'Sport'];6.6;19;Unknown;
Diario de una boda;Description unavailable;https://www.imdb.com/title/tt0401925/;Genre Unknown;No Rating;Total Rating Count N/A;2004-02-11;
Devi;Devi is a TV series starring Mohnish Bahl, Reena Kapoor, and Supriya Karnik. Faith and devotion can change destinies. 'Devi' explores this thought through a mythological drama woven into a social context.;https://www.imdb.com/title/tt0401924/;['Drama', 'Fantasy'];6.6;10;Unknown;
El Deseo;El Deseo is a TV series starring Natalia Oreiro, Marcelo Alfaro, and Ezequiel Antonini. Desire, is a town nature has gifted with unusual blessings: healing spring waters. Its moral and economic owner is Dalmiro Bernal. He and...;https://www.imdb.com/title/tt0401923/;['Romance', 'Drama', 'Mystery'];7.8;39;2004-04-19;
Crime Patrol;Description unavailable;https://www.imdb.com/title/tt0401922/;Crime;5.9;25;2003-05-09;
Corazones al límite;Description unavailable;https://www.imdb.com/title/tt0401921/;['Romance', 'Drama'];7.8;33;2004-03-15;
Grounds for Improvement;Description unavailable;https://www.imdb.com/title/tt0401940/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Get Reel;Description unavailable;https://www.imdb.com/title/tt0401939/;Documentary;No Rating;Total Rating Count N/A;Unknown;
The Genius of Mozart;The Genius of Mozart is a TV mini-series starring Jack Tarlton, Ed Pearce, and Andrew Price. The story begins with the composer's father Leopold with whom Mozart conducted a passionate and tortured correspondence. It is Leopold who...;https://www.imdb.com/title/tt0401938/;['Documentary', 'Drama', 'History'];8.1;90;2004-03-19;
Generations;Generations is a TV series starring Katlego Danke, Thami Mngqolo, and Menzi Ngubane. The backdrop of Generations is the advertising industry, with a storyline that celebrates the dreams and aspirations of South Africans. As in most...;https://www.imdb.com/title/tt0401937/;Drama;7.9;41;Unknown;
Gardening Club;Description unavailable;https://www.imdb.com/title/tt0401936/;Family;No Rating;Total Rating Count N/A;Unknown;
Fürkész történetei;Description unavailable;https://www.imdb.com/title/tt0401935/;Family;No Rating;Total Rating Count N/A;Unknown;
Foreign Exchange;Foreign Exchange is a TV series starring Zac Garred, Lynn Styles, and Danielle Fox-Clarke. Hannah O'Flaherty is a normal sixteen year old girl staying at O'Keffee's Boarding School run by Miss Murphy in Galway, Ireland. One day,...;https://www.imdb.com/title/tt0401934/;['Adventure', 'Family', 'Fantasy'];7.5;222;2004-11-05;
Floricienta;Floricienta is a TV series starring Paola Sallustro, Zulma Faiad, and Alberto Anchart. After performing for them with her band, a young, humble girl accidentally gets inside the life of a rich family of six siblings, and is welcomed...;https://www.imdb.com/title/tt0401933/;['Comedy', 'Musical', 'Family', 'Fantasy', 'Romance'];6.5;967;2004-03-15;
Fitness First;Description unavailable;https://www.imdb.com/title/tt0401932/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Factor miedo;Description unavailable;https://www.imdb.com/title/tt0401931/;Genre Unknown;No Rating;Total Rating Count N/A;2004-03-07;
Charlesworth;Description unavailable;https://www.imdb.com/title/tt0401919/;Drama;No Rating;Total Rating Count N/A;1959-04-04;
Casi perfectos;Description unavailable;https://www.imdb.com/title/tt0401918/;Comedy;5.1;39;2004-01-22;
Cabaret;Cabaret is a TV series starring Walsh and Barker, Eric Cardi, and Charles Harrison. Televised Cabaret featuring different guests from music, comedy and novelty acts every week.;https://www.imdb.com/title/tt0401917/;['Music', 'Comedy'];No Rating;Total Rating Count N/A;1936-11-07;
C.I.D.;C.I.D. is a TV series starring Dinesh Phadnis, Dayanand Shetty, and Aditya Srivastav. ACP Pradyuman, Daya and Abhijeet are an elite trio of officers who work for the CID. They seek the help of professional forensic expert Dr...;https://www.imdb.com/title/tt0401916/;['Crime', 'Drama', 'Mystery', 'Thriller'];6.7;2874;1998-01-21;
Bésame tonto;Description unavailable;https://www.imdb.com/title/tt0401915/;Romance;9.4;11;2005-10-31;
Boogie Woogie;Description unavailable;https://www.imdb.com/title/tt0401914/;['Game-Show', 'Music', 'Reality-TV'];6.7;49;Unknown;
The Big Bow Wow;The Big Bow Wow is a TV series starring Chris Boyle-McQuarry, Risteard Cooper, and Lisa Dwan. Drama featuring an irreverent group of 6 girls and guys in their mid-20s, who share the same apartment building - and the same 'Super...;https://www.imdb.com/title/tt0401913/;Drama;3.4;24;2004-02-10;
Awaaz;Description unavailable;https://www.imdb.com/title/tt0401912/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Adventure;Description unavailable;https://www.imdb.com/title/tt0401911/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Red vs. Blue;Red vs. Blue is a TV series starring Gus Sorola, Burnie Burns, and Geoff Ramsey. After the Halo event of 2552, there is a brief but violent period of civil war among the humans. Two armies on opposite sides of a canyon, the Reds and...;https://www.imdb.com/title/tt0401747/;['Animation', 'Short', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi'];8.3;8927;2003-04-01;
Samurai Sportsman;Samurai Sportsman is a TV series starring Yoshi Amao and Bill Dance. After having mastered all of the classical samurai arts, martial artist Yoshi Amao spends each episode attempting to master a different classic American outdoor...;https://www.imdb.com/title/tt0401060/;Adventure;No Rating;Total Rating Count N/A;2004-01-31;
Sairaskertomuksia;Description unavailable;https://www.imdb.com/title/tt0401059/;Comedy;8.0;28;2004-02-23;
Rozalka Olaboga;Description unavailable;https://www.imdb.com/title/tt0401058/;Genre Unknown;No Rating;Total Rating Count N/A;1985-07-05;
La rochela;Description unavailable;https://www.imdb.com/title/tt0401057/;Comedy;7.9;10;Unknown;
Il ricatto;Description unavailable;https://www.imdb.com/title/tt0401056/;Genre Unknown;7.2;13;1989-04-23;
Rahne Ko Ghar Nahin;Description unavailable;https://www.imdb.com/title/tt0401055/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Radio Bandh;Description unavailable;https://www.imdb.com/title/tt0401054/;Musical;No Rating;Total Rating Count N/A;Unknown;
Primal Fashion;Description unavailable;https://www.imdb.com/title/tt0401053/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Popstars Extra;Popstars Extra is a TV series starring Palle Strøm, Simon Junker, and Sofie Hviid. Documentary series showing scenes from the Danish "Popstars" which ended up on the cutting room floor.;https://www.imdb.com/title/tt0401052/;['Music', 'Reality-TV'];No Rating;Total Rating Count N/A;Unknown;
The Popeye Show;Description unavailable;https://www.imdb.com/title/tt0401051/;['Animation', 'Family'];7.4;73;2001-11-11;
Love on a Saturday Night;Love on a Saturday Night is a TV series starring Davina McCall, Jonathan Wilkes, and Antony Brant. Family entertainment show looking at all aspects of love, dating, attraction and romance, presented by Davina McCall in the studio...;https://www.imdb.com/title/tt0401030/;Romance;No Rating;Total Rating Count N/A;2004-02-07;
Louise;Description unavailable;https://www.imdb.com/title/tt0401029/;Music;No Rating;Total Rating Count N/A;Unknown;
Loca piel;Description unavailable;https://www.imdb.com/title/tt0401028/;Romance;No Rating;Total Rating Count N/A;1996-08-12;
Let's Parlez Franglais;Description unavailable;https://www.imdb.com/title/tt0401026/;Comedy;No Rating;Total Rating Count N/A;1984-08-06;
Knock First;Knock First is a TV series starring Shane Booth, Leah Clark, and John Gidding. In each episode, an ABC bus carries a designer team and the film crew to serve as headquarters outside the home of a lucky youngster whose room gets a...;https://www.imdb.com/title/tt0401024/;Reality-TV;8.8;17;2003-09-25;
Kesanli Ali destani;Description unavailable;https://www.imdb.com/title/tt0401023/;['Musical', 'Comedy'];5.9;71;Unknown;
Kanojo ga shinjatta.;Kanojo ga shinjatta. is a TV series starring Kazuyuki Aijima, Satoshi Hashimoto, and Kôki Okada. Love's sweet sorrow forms the dramatic storyline for this mystery drama. A free-spirited young woman, Yukari, touches those around her...;https://www.imdb.com/title/tt0401022/;['Comedy', 'Romance'];No Rating;Total Rating Count N/A;2004-01-17;
Kamen raidâ 555;Kamen raidâ 555 is a TV series starring Kento Handa, Yuria Haga, and Hitomi Kurihara. Smart Brain Corporation is trying to take over the world using Orphnoch, the next stage in humanity's evolution. The Rider Gears they develop are...;https://www.imdb.com/title/tt0401021/;['Action', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];8.4;380;2003-01-26;
¡Qué buena se puso Lola!;Description unavailable;https://www.imdb.com/title/tt0401083/;['Drama', 'Romance'];No Rating;Total Rating Count N/A;2004-02-10;
[V] Smash Hits;Description unavailable;https://www.imdb.com/title/tt0401082/;Musical;No Rating;Total Rating Count N/A;Unknown;
Zycie na goraco;Description unavailable;https://www.imdb.com/title/tt0401081/;['Action', 'Crime'];5.8;24;1979-03-03;
Zee News;Description unavailable;https://www.imdb.com/title/tt0401080/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Wicked Science;Wicked Science is a TV series starring Bridget Neval, André de Vanny, and Benjamin Schmideg. While working on a class assignment with the teacher's pet, Toby is struck with a wave of energy that makes him a super genius in science.;https://www.imdb.com/title/tt0401079/;['Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi'];7.3;630;2004-02-24;
Who Needs Hollywood?;Description unavailable;https://www.imdb.com/title/tt0401078/;Comedy;No Rating;Total Rating Count N/A;2001-12-23;
Watch with Monkey;Description unavailable;https://www.imdb.com/title/tt0401077/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
La vie rêvée de Mario Jean;Description unavailable;https://www.imdb.com/title/tt0401076/;Comedy;No Rating;Total Rating Count N/A;2004-09-15;
VH-1 Music Talks;Description unavailable;https://www.imdb.com/title/tt0401075/;Music;No Rating;Total Rating Count N/A;1994-06-06;
USA Live;USA Live is a TV series starring Millena Gay, Heather S. Michaels, and Myreah Mai Moore. 3-hour block of live, interstitial programming around old episodes of THE PEOPLE'S COURT and LOVE CONNECTION;https://www.imdb.com/title/tt0401074/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Tulipan;Tulipan is a TV series starring Jan Monczka, Jerzy Kryszak, and Marta Klubowicz. Young and charming heartbreaker turns out not to be the one who he is passing for.;https://www.imdb.com/title/tt0401073/;['Drama', 'Romance'];7.1;64;1987-02-22;
Thorndyke;Description unavailable;https://www.imdb.com/title/tt0401072/;['Crime', 'Drama'];No Rating;Total Rating Count N/A;1964-10-03;
Temps dur;Temps dur is a TV series starring Robin Aubert, Stéphane Demers, and Evelyne Rompré. L'histoire du voyage semé d'obstacles du détenu et criminel de carrière Alain Bergeron, dont l'identité s'est forgée au cours des années en...;https://www.imdb.com/title/tt0401071/;Drama;8.1;46;2004-09-13;
Jesús, el heredero;Jesús, el heredero is a TV series starring Joaquín Furriel, Malena Solda, and Jorge Marrale. Our story begins 10 years ago. An afternoon like any other, Dolores Sánchez Alé decides to visit the orphanage of which she is the...;https://www.imdb.com/title/tt0401020/;['Romance', 'Drama'];5.0;5;2004-03-15;
Island at War;Island at War is a TV mini-series starring Saskia Reeves, Owen Teale, and Julia Ford. During the Second World War, a quiet channel island community is thrown into turmoil by the invasion forces of Nazi Germany.;https://www.imdb.com/title/tt0401019/;['Drama', 'War'];7.6;1361;2004-07-11;
The Impressionable Jon Culshaw;The Impressionable Jon Culshaw is a TV series starring Jon Culshaw, Fern Britton, and Lara Lewington. Comedy and entertainment as impressionist Jon Culshaw plays a variety of characters including Tony Blair, Gordon Brown, Billy...;https://www.imdb.com/title/tt0401018/;Comedy;7.0;8;2004-02-25;
INDyeah!;Description unavailable;https://www.imdb.com/title/tt0401017/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Hundert Mark;Description unavailable;https://www.imdb.com/title/tt0401016/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Hit Filmein Hit Sangeet - 20 M;Description unavailable;https://www.imdb.com/title/tt0401015/;Musical;No Rating;Total Rating Count N/A;Unknown;
Hercules;Hercules is a TV series starring Paul Darrow, Bryce Alford, and Richard Blagrove. Paul Darrow presents the game show in which 12 men perform feats of incredible athletic endurance over 12 consecutive days.;https://www.imdb.com/title/tt0401014/;Documentary;8.2;12;2004-01-12;
Hello DD;Description unavailable;https://www.imdb.com/title/tt0401013/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Heena;Description unavailable;https://www.imdb.com/title/tt0401012/;Drama;6.9;23;Unknown;
Headhunters;Description unavailable;https://www.imdb.com/title/tt0401011/;Drama;5.7;21;2004-03-01;
Phir Bhi Dil Hai Hindustani;Phir Bhi Dil Hai Hindustani is a TV series starring Sudhir Pandey, Tushar Dalvi, and Upasna Singh. The Show shows a story about a family where an old man lives in a house with his three sons, three daughter in laws and grand...;https://www.imdb.com/title/tt0401050/;['Comedy', 'Drama'];No Rating;Total Rating Count N/A;Unknown;
Pensjonat Pod Róza;Pensjonat Pod Róza is a TV series starring Magdalena Walach, Marzena Trybala, and Agata Kulesza. "The Rose Inn" is a charming small hotel outside Warsaw and the main setting for the plot. Here the three female characters Iwa, Dusia...;https://www.imdb.com/title/tt0401049/;Drama;3.4;60;2004-02-15;
Paradise Walk;Description unavailable;https://www.imdb.com/title/tt0401048/;Adventure;No Rating;Total Rating Count N/A;1961-01-15;
Pankhuriyan;Description unavailable;https://www.imdb.com/title/tt0401047/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Outolintu;Description unavailable;https://www.imdb.com/title/tt0401046/;Comedy;No Rating;Total Rating Count N/A;2004-02-22;
Nova: In Search of Human Origins;Description unavailable;https://www.imdb.com/title/tt0401043/;Documentary;7.8;14;Unknown;
Una noche sin mañana;Description unavailable;https://www.imdb.com/title/tt0401042/;['Romance', 'Drama'];No Rating;Total Rating Count N/A;Unknown;
National Programme of Music;Description unavailable;https://www.imdb.com/title/tt0401041/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Tales of the Riverbank;Tales of the Riverbank is a TV series starring Johnny Morris and Peggy Miller. Real live animals such as Hammy the Hamster and Roderick the Rat are cleverly moved around off-camera in order to tell stories for children.;https://www.imdb.com/title/tt0401070/;Family;8.7;108;Unknown;
Tales from the Opera;Description unavailable;https://www.imdb.com/title/tt0401069/;['Documentary', 'Music'];No Rating;Total Rating Count N/A;Unknown;
Sämpy;Description unavailable;https://www.imdb.com/title/tt0401068/;Comedy;7.4;11;1974-10-17;
Subah Savere;Description unavailable;https://www.imdb.com/title/tt0401067/;Genre Unknown;5.3;12;Unknown;
Stripperkongens piger;Description unavailable;https://www.imdb.com/title/tt0401066/;Documentary;7.1;15;Unknown;
The Story of New Theatre;Description unavailable;https://www.imdb.com/title/tt0401065/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Star Academy;Description unavailable;https://www.imdb.com/title/tt0401064/;['Family', 'Music', 'Reality-TV'];3.4;76;Unknown;
Stand-Up Stand-Up;Description unavailable;https://www.imdb.com/title/tt0401063/;['Documentary', 'Comedy'];7.4;12;1992-05-01;
Spynet;Spynet is a TV series starring Kim Schraner, Matt Sadowski, and Nykeem Provo. Agent Sam receives her mission from Pendelton and attempts to save the world.;https://www.imdb.com/title/tt0401062/;Action;7.2;21;2002-02-25;
Six Shades of Black;Six Shades of Black is a TV series starring Pamela Brown, Ursula Howells, and Fredric Abbott. This show was a series of six plays in which the hero of one was the villain in another, thus illustrating the good and bad sides of the...;https://www.imdb.com/title/tt0401061/;Drama;No Rating;Total Rating Count N/A;1965-04-30;
Gophers!;Description unavailable;https://www.imdb.com/title/tt0401010/;Family;8.1;36;1990-01-02;
Garam;Description unavailable;https://www.imdb.com/title/tt0401009/;Musical;No Rating;Total Rating Count N/A;Unknown;
The Friday Zone;The Friday Zone is a TV series starring Taylor Crousore, Chad Quandt, and Maddie Baldwin. The Friday Zone is an Emmy award winning weekly children's television show produced by WTIU Public Television at Indiana University in...;https://www.imdb.com/title/tt0401008/;Family;9.3;6;1999-10-01;
Film Topper: 301 Series;Description unavailable;https://www.imdb.com/title/tt0401007/;Musical;No Rating;Total Rating Count N/A;Unknown;
Fashion Premiere;Description unavailable;https://www.imdb.com/title/tt0401006/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Exposure;Description unavailable;https://www.imdb.com/title/tt0401004/;Musical;No Rating;Total Rating Count N/A;Unknown;
An Evening at the Improv;An Evening at the Improv is a TV series starring Budd Friedman, Bobby Collins, and Rick Overton. Classic showcase for stand up comedy.;https://www.imdb.com/title/tt0401003/;Comedy;7.3;97;1981-01-02;
Eminent Cartoonist of India;Description unavailable;https://www.imdb.com/title/tt0401002/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Het eiland;Het eiland is a TV series starring Frank Focketyn, Wim Opbrouck, and Dirk van Dijck. Michel, Guido and Frankie have been co-workers and close friends for years. But when their boss gets fired, Guido gets a promotion and is replaced...;https://www.imdb.com/title/tt0401001/;Comedy;8.7;2477;2004-01-31;
Natacha;Description unavailable;https://www.imdb.com/title/tt0401040/;Romance;No Rating;Total Rating Count N/A;Unknown;
Najdluzsza wojna nowoczesnej Europy;Najdluzsza wojna nowoczesnej Europy is a TV series starring Piotr Pawlowski, Krzysztof Kolberger, and Krzysztof Kowalewski. The series shows the fight between Poles and Germanization in Greater Poland in the years 1815-1918.;https://www.imdb.com/title/tt0401039/;['Drama', 'History'];7.6;23;1980-02-12;
NFL Total Access;NFL Total Access is a TV series starring Amber Theoharis, Jenn Brown, and Daniel Jeremiah. All around coverage of everything going on in the NFL (National Football League) year round.;https://www.imdb.com/title/tt0401038/;Sport;7.6;140;2003-11-04;
Muchacha italiana viene a casarse;Description unavailable;https://www.imdb.com/title/tt0401037/;Genre Unknown;5.0;5;Unknown;
Mommy Queerest;Description unavailable;https://www.imdb.com/title/tt0401036/;Comedy;No Rating;Total Rating Count N/A;2004-03-20;
Moccasin Flats;Description unavailable;https://www.imdb.com/title/tt0401035/;Drama;8.1;35;2003-11-10;
The Meaning of Food;The Meaning of Food is a TV mini-series starring Julie Dash, Nikky Finney, and Vertamae Grosvenor. The Meaning of Food is a three part series that explores food cultures, identities and histories in America. Stories include...;https://www.imdb.com/title/tt0401034/;Documentary;7.0;11;Unknown;
Me thea sto pelago;Description unavailable;https://www.imdb.com/title/tt0401033/;['Crime', 'Drama', 'Mystery'];7.5;68;2004-01-23;
Marina;Description unavailable;https://www.imdb.com/title/tt0401032/;['Drama', 'Fantasy', 'Romance'];7.8;29;2004-02-23;
Man Apman;Description unavailable;https://www.imdb.com/title/tt0401031/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
9 PM Report;Description unavailable;https://www.imdb.com/title/tt0400969/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Shin seiki evangerion;Shin seiki evangerion is a TV series starring Megumi Ogata, Megumi Hayashibara, and Kotono Mitsuishi. A teenage boy finds himself recruited as a member of an elite team of pilots by his father.;https://www.imdb.com/title/tt0400911/;['Animation', 'Action', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller'];8.5;52975;1995-10-04;
Before & After'noon Movies;Description unavailable;https://www.imdb.com/title/tt0400980/;Documentary;No Rating;Total Rating Count N/A;2001-10-18;
Baaje Payal;Description unavailable;https://www.imdb.com/title/tt0400979/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
At the Angelika;At the Angelika is a TV series starring Colin Firth, Christopher Guest, and Michael McKean. A monthly series shot at the Angelika Film Center in New York City, and provides an in-depth look at the independent film scene.;https://www.imdb.com/title/tt0400978/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Astitva Ek Prem Kahani;Astitva Ek Prem Kahani is a TV series starring Niki Walia, Varun Badola, and Kamya Punjabi. How Simran emerges a winner out of a situation where she has no control.;https://www.imdb.com/title/tt0400977/;['Drama', 'Romance'];7.9;52;Unknown;
Arto Nyberg;Description unavailable;https://www.imdb.com/title/tt0400976/;Talk-Show;6.5;61;2004-03-07;
The Arctic;Description unavailable;https://www.imdb.com/title/tt0400975/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Animal Camera;Description unavailable;https://www.imdb.com/title/tt0400974/;Documentary;7.6;16;2004-02-11;
Allá tú;Description unavailable;https://www.imdb.com/title/tt0400973/;Game-Show;4.4;21;2004-01-26;
Adventure Story;Adventure Story is a TV series starring Margaretta Scott and Edward Woodward. About two young adventurers stuck on an island.;https://www.imdb.com/title/tt0400972/;Adventure;6.4;13;1961-06-12;
AV Squad;AV Squad is a TV series starring Callie Stydahar, Alison Becker, and Kristen Caldwell. AV Squad is National Lampoon's alternative music magazine, interview and live performance program. The show's purpose is to expose new music and...;https://www.imdb.com/title/tt0400971/;Music;5.6;9;2003-09-05;
Code Blue: New Orleans;Code Blue: New Orleans is a TV series starring Eduardo Marvez-Valls, Brian Boggs, and Anthony Mitchell. Experience the rush of life-and-death situations with the staff of Charity Hospital in New Orleans, following the lives of the...;https://www.imdb.com/title/tt0400990/;Documentary;7.8;12;Unknown;
Chief Halftown;Chief Halftown is a TV series starring Blaze Kelly Coyle, Larry Ferrari, and Chief Traynor Ora Halftown. Chief Halftown hired one of his close and personal friends, Horace Hoffman, to make his Indian headdress and wardrobe. Horace...;https://www.imdb.com/title/tt0400989/;Family;7.4;11;Unknown;
Cerní baroni;Description unavailable;https://www.imdb.com/title/tt0400988/;Comedy;6.5;70;2004-01-19;
Los Buenos días de HTV;Description unavailable;https://www.imdb.com/title/tt0400987/;Musical;No Rating;Total Rating Count N/A;Unknown;
Bucknell's House;Bucknell's House is a TV series starring Barry Bucknell. Weekly Do-It-Yourself TV guide.;https://www.imdb.com/title/tt0400986/;Documentary;No Rating;Total Rating Count N/A;Unknown;
Bozo's Big Top;Description unavailable;https://www.imdb.com/title/tt0400985/;Family;6.8;16;Unknown;
Bollywood Tonight;Description unavailable;https://www.imdb.com/title/tt0400984/;Musical;No Rating;Total Rating Count N/A;Unknown;
Bollywood Lounge;Description unavailable;https://www.imdb.com/title/tt0400983/;Musical;No Rating;Total Rating Count N/A;2002-09-18;
Blisko, coraz blizej;Description unavailable;https://www.imdb.com/title/tt0400982/;['Drama', 'History'];7.4;17;1983-10-23;
Billy Cotton Band Show;Description unavailable;https://www.imdb.com/title/tt0400981/;Music;7.0;7;1956-03-29;
Diritto di difesa;Description unavailable;https://www.imdb.com/title/tt0401000/;['Mystery', 'Romance'];3.6;16;2004-01-20;
Digital Avenue;Description unavailable;https://www.imdb.com/title/tt0400999/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Democracy Now!;Democracy Now! is a TV series starring Amy Goodman, Juan Gonzalez, and Nermeen Shaikh. Journalist Amy Goodman hosts this independent news program which features international journalists, grassroots leaders, independent analysts, as...;https://www.imdb.com/title/tt0400998/;['News', 'Talk-Show'];6.1;353;Unknown;
Dead Men's Secrets;Dead Men's Secrets is a TV series starring Trevor Nichols, Aaron May, and Meyer Lansky. A series that discusses secrets and mysteries during wars in the 20th century;https://www.imdb.com/title/tt0400997/;Documentary;6.9;29;2002-05-14;
Daud;Description unavailable;https://www.imdb.com/title/tt0400996/;Musical;No Rating;Total Rating Count N/A;Unknown;
Danske dj's;Danske dj's is a TV series starring Katrine Ring, Tatsuki, and Kenneth Bager. Documentary series about Danish dj's, and the history of music performed by dj's. Presented by Katrine Ring.;https://www.imdb.com/title/tt0400995/;['Music', 'Documentary'];No Rating;Total Rating Count N/A;2004-01-07;
Crash Test;Description unavailable;https://www.imdb.com/title/tt0400994/;Genre Unknown;No Rating;Total Rating Count N/A;2004-02-23;
Cowboy U;Description unavailable;https://www.imdb.com/title/tt0400993/;Genre Unknown;7.3;22;2003-08-29;
Cosita rica;Description unavailable;https://www.imdb.com/title/tt0400992/;['Romance', 'Drama'];8.0;53;2003-09-30;
Connections;Connections is a TV series starring Richard Madeley, Marian Chanter, and Charles Foster. Quiz Show featuring 16-18 Year Olds.;https://www.imdb.com/title/tt0400991/;['Family', 'Game-Show'];No Rating;Total Rating Count N/A;Unknown;
Jûbê ninpûchô: Ryûhôgyoku-hen;Jûbê ninpûchô: Ryûhôgyoku-hen is a TV series starring Rikiya Koyama, David Rasner, and Houko Kuwashima. Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami...;https://www.imdb.com/title/tt0400690/;['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy'];7.0;1494;2003-04-14;
Initial D: Extra Stage;Initial D: Extra Stage is a TV mini-series starring Michiko Neya, Yumi Kakazu, and Keiji Fujiwara. An Initial D side story OAV which follows the lives of Mako and Sayuki, the "Impact Blue" SilEighty team from Usui and their troubles...;https://www.imdb.com/title/tt0400537/;['Animation', 'Action', 'Romance'];7.1;468;2001-05-07;
Kak v starom detektive;Description unavailable;https://www.imdb.com/title/tt0400563/;['Crime', 'Mystery'];3.7;6;2004-01-12;
The World of Stainboy;The World of Stainboy is a TV mini-series starring Glenn Shadix, Lisa Marie, and Will Amato. Local superhero Stainboy hunts down oddball villains harnessing bizarre powers.;https://www.imdb.com/title/tt0400231/;['Animation', 'Short'];7.1;2295;2000-09-26;
Zaginiona;Zaginiona is a TV series starring Ewa Szawlowska, Szymon Bobrowski, and Krzysztof Dracz. Dramatic story of a family looking for missing daughter.;https://www.imdb.com/title/tt0400061/;Drama;5.9;21;2003-01-05;
Los pensionados;Description unavailable;https://www.imdb.com/title/tt0400010/;Romance;5.2;22;2004-02-02;
Partners: Mel and Jay;Description unavailable;https://www.imdb.com/title/tt0400009/;Talk-Show;6.5;6;Unknown;
Paradiso;Description unavailable;https://www.imdb.com/title/tt0400008/;['Animation', 'Family', 'Fantasy'];No Rating;Total Rating Count N/A;2000-03-15;
La otra familia;Description unavailable;https://www.imdb.com/title/tt0400007/;Drama;No Rating;Total Rating Count N/A;1996-09-16;
Other People's Houses;Description unavailable;https://www.imdb.com/title/tt0400006/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
